Treatment,Site,Transect,Log_Number,Diameter,Decay
Control,C25,2,1,3,R
Control,C26,1,1,3,R
Control,C26,1,2,3,R
Control,C26,1,3,3,R
Control,C26,3,4,3,R
Control,C26,3,5,8,R
Control,C26,3,6,4,R
Control,C26,3,7,3,R
Control,C26,2,8,3,R
Control,C26,2,9,3,R
Control,C26,2,10,3,R
Control,C26,5,11,10,S
Control,C27,4,1,3,R
Control,C28,1,1,5,R
Control,C28,1,2,7,R
Control,C28,2,3,6,R
Control,C28,3,4,4,R
Control,C28,3,5,3,R
Control,C28,4,6,5,R
Control,C28,4,7,10,R
Control,C29,1,1,3,R
Control,C29,1,2,3,R
Control,C29,1,3,3,R
Control,C29,1,4,4,R
Control,C29,1,5,6,R
Control,C29,1,6,3,R
Control,C29,1,7,5,R
Control,C29,1,8,4,R
Control,C29,2,9,10,R
Control,C29,3,10,3,R
Control,C29,3,11,7,R
Control,C29,3,12,6,R
Control,C29,4,13,6,R
Control,C29,4,14,3,R
Control,C29,4,15,3,R
Control,C29,4,16,3,R
Control,C29,5,17,3,R
Control,C29,5,18,3,R
Control,C29,5,19,3,R
Control,C29,5,20,10,R
Control,C29,5,21,3,R
Control,C30,1,1,10,R
Control,C30,1,2,3,R
Control,C30,1,3,3,R
Control,C30,2,4,3,R
Control,C30,2,5,3,R
Control,C30,2,6,3,R
Control,C30,2,7,3,R
Control,C30,3,8,3,R
Control,C30,3,9,3,R
Control,C30,4,10,10,R
Control,C30,4,11,8,R
Control,C30,4,12,6,R
Control,C30,4,13,3,R
Control,C30,4,14,3,R
Control,C30,4,15,3,R
Control,C30,4,16,3,R
Control,C30,4,17,3,R
Control,C30,4,18,3,R
Thinned,T1,1,1,6,S
Thinned,T1,1,2,10,S
Thinned,T1,1,3,9,R
Thinned,T1,3,4,8,R
Thinned,T1,4,5,3,S
Thinned,T1,5,6,4,R
Thinned,T1,5,7,3,S
Thinned,T1,5,8,6,S
Thinned,T1,5,9,3,R
Thinned,T1,5,10,4,R
Thinned,T10,1,1,3,S
Thinned,T10,1,2,3,S
Thinned,T10,2,3,5,R
Thinned,T10,2,4,3,R
Thinned,T10,2,5,4,S
Thinned,T10,3,6,3,S
Thinned,T10,5,7,3,S
Thinned,T11,1,1,8,R
Thinned,T11,1,2,3,S
Thinned,T11,3,3,3,R
Thinned,T11,4,4,3,S
Thinned,T12,3,1,4,S
Thinned,T13,1,1,10,R
Thinned,T13,2,2,3,S
Thinned,T13,2,3,3,S
Thinned,T13,2,4,5,R
Thinned,T13,3,5,4,S
Thinned,T13,5,6,3,S
Thinned,T13,5,7,8,R
Thinned,T14,1,1,4,R
Thinned,T14,3,2,3,R
Thinned,T14,4,3,3,S
Thinned,T14,4,4,3,S
Thinned,T14,4,5,3,S
Thinned,T14,4,6,3,S
Thinned,T14,4,7,3,S
Thinned,T14,4,8,3,S
Thinned,T14,4,9,3,S
Thinned,T14,4,10,5,S
Thinned,T14,5,11,3,R
Thinned,T15,1,1,4,S
Thinned,T15,2,2,3,R
Thinned,T2,1,1,8,R
Thinned,T2,1,2,9,R
Thinned,T2,2,3,3,R
Thinned,T2,2,4,6,S
Thinned,T2,3,5,3,R
Thinned,T3,1,1,4,Burn
Thinned,T3,1,2,4,R
Thinned,T3,1,3,7,R
Thinned,T3,1,4,6,R
Thinned,T3,1,5,9,S
Thinned,T3,2,6,8,R
Thinned,T3,2,7,6,R
Thinned,T3,3,8,3,R
Thinned,T3,4,9,5,R
Thinned,T3,5,10,7,R
Thinned,T4,1,1,10,S
Thinned,T4,1,2,7,R
Thinned,T4,2,3,3,R
Thinned,T4,3,4,13,S
Thinned,T4,3,5,10,S
Thinned,T4,3,6,5,R
Thinned,T4,4,7,5,R
Thinned,T4,5,8,3,R
Thinned,T4,5,9,11,R
Thinned,T4,5,10,10,R
Thinned,T4,5,11,3,R
Thinned,T4,5,12,3,R
Thinned,T4,5,13,8,R
Thinned,T5,1,1,7,R
Thinned,T5,1,2,3,R
Thinned,T5,1,3,6,R
Thinned,T5,1,4,4,R
Thinned,T5,2,5,3,R
Thinned,T5,2,6,3,R
Thinned,T5,2,7,13,R
Thinned,T5,2,8,5,R
Thinned,T5,2,9,7,R
Thinned,T5,2,10,8,R
Thinned,T5,3,11,6,R
Thinned,T5,3,12,8,R
Thinned,T5,3,13,4,R
Thinned,T5,3,14,4,R
Thinned,T5,3,15,6,R
Thinned,T5,3,16,10,R
Thinned,T5,4,17,3,R
Thinned,T5,4,18,6,R
Thinned,T5,4,19,6,S
Thinned,T5,4,20,6,R
Thinned,T5,4,21,3,S
Thinned,T5,4,22,3,R
Thinned,T5,4,23,4,R
Thinned,T5,5,24,9,S
Thinned,T5,5,25,7,R
Thinned,T5,5,26,3,R
Thinned,T5,5,27,7,R
Thinned,T6,1,1,15,R
Thinned,T6,2,2,8,S
Thinned,T6,2,3,6,S
Thinned,T6,3,4,7,R
Thinned,T6,3,5,7,R
Thinned,T6,3,6,8,R
Thinned,T6,4,7,3,R
Thinned,T6,4,8,3,S
Thinned,T6,4,9,6,Burn
Thinned,T6,4,10,4,Burn
Thinned,T6,4,11,3,S
Thinned,T6,4,12,3,S
Thinned,T6,4,13,3,S
Thinned,T6,5,14,3,R
Thinned,T7,1,1,5,S
Thinned,T7,1,2,4,S
Thinned,T7,1,3,6,R
Thinned,T7,1,4,3,S
Thinned,T7,2,5,3,S
Thinned,T7,2,6,3,S
Thinned,T7,2,7,3,R
Thinned,T7,2,8,8,S
Thinned,T7,3,9,5,S
Thinned,T7,3,10,3,R
Thinned,T7,3,11,3,R
Thinned,T7,4,12,12,S
Thinned,T7,4,13,3,Burn
Thinned,T7,4,14,3,Burn
Thinned,T7,4,15,3,Burn
Thinned,T7,5,16,3,R
Thinned,T7,5,17,5,R
Thinned,T7,5,18,7,R
Thinned,T8,3,1,3,R
Thinned,T8,5,2,3,S
