Site,Treatment,Photo,Sky
T10                           ,Thinned,3,48.59
T10                           ,Thinned,4,63
T10                           ,Thinned,5,81.57
T10                           ,Thinned,6,35.3
T10                           ,Thinned,7,96.77
T10                           ,Thinned,8,99.96
T10                           ,Thinned,9,76.46
T10                           ,Thinned,10,78.41
T11                           ,Thinned,1,36.06
T11                           ,Thinned,2,29.89
T11                           ,Thinned,3,84.66
T11                           ,Thinned,4,72.84
T11                           ,Thinned,5,85.01
T11                           ,Thinned,6,68.1
T11                           ,Thinned,7,94.18
T11                           ,Thinned,8,92.01
T11                           ,Thinned,9,91.96
T11                           ,Thinned,10,99.52
T12                           ,Thinned,1,38.38
T12                           ,Thinned,2,68.3
T12                           ,Thinned,3,85.25
T12                           ,Thinned,4,98.14
T12                           ,Thinned,5,81.75
T12                           ,Thinned,6,82.38
T12                           ,Thinned,7,71.31
T12                           ,Thinned,8,75.12
T12                           ,Thinned,9,85.89
T12                           ,Thinned,10,72.07
T13                           ,Thinned,1,32.77
T13                           ,Thinned,2,94.86
T13                           ,Thinned,3,100
T13                           ,Thinned,4,76.64
T13                           ,Thinned,5,96.19
T13                           ,Thinned,6,66.53
T13                           ,Thinned,7,99.14
T13                           ,Thinned,8,83.54
T13                           ,Thinned,9,97.63
T13                           ,Thinned,10,77.97
T14                           ,Thinned,1,32.79
T14                           ,Thinned,2,86.58
T14                           ,Thinned,3,76.22
T14                           ,Thinned,4,66.11
T14                           ,Thinned,5,81.52
T14                           ,Thinned,6,62.8
T14                           ,Thinned,7,76.13
T14                           ,Thinned,8,86.14
T14                           ,Thinned,9,94.9
T14                           ,Thinned,10,98.15
T15                           ,Thinned,1,48.54
T15                           ,Thinned,2,68.21
T15                           ,Thinned,3,64.02
T15                           ,Thinned,4,42.29
T15                           ,Thinned,5,57.68
T15                           ,Thinned,6,56.85
T15                           ,Thinned,7,64.7
T15                           ,Thinned,8,24.91
T15                           ,Thinned,9,47.37
T15                           ,Thinned,10,58.6
